hscode,description
0101.21,"Horses; live, pure-bred breeding animals"
0101.29,"Horses; live, other than pure-bred breeding animals"
0101.30,Asses; live
0101.90,Mules and hinnies; live
0102.21,"Cattle; live, pure-bred breeding animals"
0102.29,"Cattle; live, other than pure-bred breeding animals"
0102.31,"Buffalo; live, pure-bred breeding animals"
0102.39,"Buffalo; live, other than pure-bred breeding animals"
0102.90,"Bovine animals; live, other than cattle and buffalo"
0103.10,"Swine; live, pure-bred breeding animals"
0103.91,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg"
0103.92,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more"
0104.10,Sheep; live
0104.20,Goats; live
0105.11,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g"
0105.12,"Poultry; live, turkeys, weighing not more than 185g"
0105.13,"Poultry; live, ducks, weighing not more than 185g"
0105.14,"Poultry; live, geese, weighing not more than 185g"
0105.15,"Poultry; live, guinea fowls, weighing not more than 185g"
0105.94,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g"
0105.99,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g"
0106.11,"Mammals; live, primates"
0106.12,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
0106.13,"Mammals; live, camels and other camelids (Camelidae)"
0106.14,"Mammals; live, rabbits and hares"
0106.19,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares"
0106.20,Reptiles; live (including snakes and turtles)
0106.31,"Birds; live, birds of prey"
0106.32,"Birds; live, Psittaciformes"
0106.33,"Birds; live, ostriches; emus (Dromaius novaehollandiae)"
0106.39,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)"
0106.41,"Insects; live, bees"
0106.49,"Insects; live, other than bees"
0106.90,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects"
0201.10,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled"
0201.20,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
0201.30,"Meat; of bovine animals, boneless cuts, fresh or chilled"
0202.10,"Meat; of bovine animals, carcasses and half-carcasses, frozen"
0202.20,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen"
0202.30,"Meat; of bovine animals, boneless cuts, frozen"
0203.11,"Meat; of swine, carcasses and half-carcasses, fresh or chilled"
0203.12,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled"
0203.19,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled"
0203.21,"Meat; of swine, carcasses and half-carcasses, frozen"
0203.22,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen"
0203.29,"Meat; of swine, n.e.c. in item no. 0203.2, frozen"
0204.10,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled"
0204.21,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled"
0204.22,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
0204.23,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled"
0204.30,"Meat; of sheep, lamb carcasses and half-carcasses, frozen"
0204.41,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen"
0204.42,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen"
0204.43,"Meat; of sheep (including lamb), boneless cuts, frozen"
0204.50,"Meat; of goats, fresh, chilled or frozen"
0205.00,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen"
0206.10,"Offal, edible; of bovine animals, fresh or chilled"
0206.21,"Offal, edible; of bovine animals, tongues, frozen"
0206.22,"Offal, edible; of bovine animals, livers, frozen"
0206.29,"Offal, edible; of bovine animals, (other than tongues and livers), frozen"
0206.30,"Offal, edible; of swine, fresh or chilled"
0206.41,"Offal, edible; of swine, livers, frozen"
0206.49,"Offal, edible; of swine, (other than livers), frozen"
0206.80,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
0206.90,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen"
0207.11,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled"
0207.12,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen"
0207.13,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled"
0207.14,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen"
0207.24,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled"
0207.25,"Meat and edible offal; of turkeys, not cut in pieces, frozen"
0207.26,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled"
0207.27,"Meat and edible offal; of turkeys, cuts and offal, frozen"
0207.41,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled"
0207.42,"Meat and edible offal; of ducks, not cut in pieces, frozen"
0207.43,"Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled"
0207.44,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled"
0207.45,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen"
0207.51,"Meat and edible offal; of geese, not cut in pieces, fresh or chilled"
0207.52,"Meat and edible offal; of geese, not cut in pieces, frozen"
0207.53,"Meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled"
0207.54,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled"
0207.55,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen"
0207.60,"Meat and edible offal; of guinea fowls, fresh, chilled or frozen"
0208.10,"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen"
0208.30,"Meat and edible meat offal; of primates, fresh, chilled or frozen"
0208.40,"Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen"
0208.50,"Meat and edible meat offal; of reptiles (including snakes and turtles), fresh, chilled or frozen"
0208.60,"Meat and edible meat offal; of camels and other camelids (Camelidae), fresh, chilled or frozen"
0208.90,"Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen"
0209.10,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
0209.90,"Fat; poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
0210.11,"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in"
0210.12,"Meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof"
0210.19,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1"
0210.20,"Meat; salted, in brine, dried or smoked, of bovine animals"
0210.91,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates"
0210.92,"Meat and edible meat offal; salted, in brine, dried or smoked; edible flours, meals of meat or meat offal, of whales, dolphins, porpoises (of order Cetacea); manatees, dugongs (of order Sirenia); seals, sea lions, and walruses (of suborder Pinnipedia)"
0210.93,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles)"
0210.99,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)"
0301.11,"Fish; live, ornamental, freshwater"
0301.19,"Fish; live, ornamental, other than freshwater"
0301.91,"Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
0301.92,"Fish; live, eels (Anguilla spp.)"
0301.93,"Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0301.94,"Fish; live, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
0301.95,"Fish; live, southern bluefin tunas (Thunnus maccoyii)"
0301.99,"Fish; live, n.e.c. in heading 0301"
0302.11,"Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9"
0302.13,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9"
0302.14,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
0302.19,"Fish; fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
0302.21,"Fish; fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
0302.22,"Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
0302.23,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
0302.24,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
0302.29,"Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
0302.31,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
0302.32,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
0302.33,"Fish; fresh or chilled, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
0302.34,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
