name,lga_code,state_code
Ikeduru,NG-IM-IKE,NG-IM
Warawa,NG-KN-WAR,NG-KN
Edu,NG-KW-EDU,NG-KW
Abeokuta North,NG-OG-ANO,NG-OG
Ibadan Central,NG-OY-ICE,NG-OY
Dange-shnsi,NG-SO-DSH,NG-SO
Tambuwal,NG-SO-TAM,NG-SO
Mkpat Enin,NG-AK-MEN,NG-AK
Southern Ijaw,NG-BY-SIJ,NG-BY
Magumeri,NG-BO-MAG,NG-BO
Akamkpa,NG-CR-AKA,NG-CR
Ihitte/Uboma,NG-IM-IHI,NG-IM
Birnin-Gwari,NG-KD-BGW,NG-KD
Bunkure,NG-KN-BUN,NG-KN
Ofu,NG-KO-OFU,NG-KO
Owan East,NG-ED-OEA,NG-ED
Aboh-Mbaise,NG-IM-AMB,NG-IM
Baruten,NG-KW-BAR,NG-KW
Tarmua,NG-YO-TAR,NG-YO
Ikono,NG-AK-IKO,NG-AK
Orumba North,NG-AN-ON1,NG-AN
Igbo-Etiti,NG-EN-IET,NG-EN
Ngor-Okpala,NG-IM-NOK,NG-IM
Oru West,NG-IM-OWE,NG-IM
Kazaure,NG-JI-KAZ,NG-JI
Ojo,NG-LA-OJO,NG-LA
Nsit Ibom,NG-AK-NIB,NG-AK
Dutse,NG-JI-DUT,NG-JI
Miga,NG-JI-MIG,NG-JI
Taura,NG-JI-TAU,NG-JI
Madobi,NG-KN-MAD,NG-KN
Kalgo,NG-KE-KAL,NG-KE
Okehi,NG-KO-OKE,NG-KO
Ilorin East,NG-KW-IEA,NG-KW
Ikwuano,NG-AB-IKW,NG-AB
Biu,NG-BO-BIU,NG-BO
Calabar-Municipal,NG-CR-CMU,NG-CR
Garum Mallam,NG-KN-GMA,NG-KN
Akoko South West,NG-ON-ASW,NG-ON
Ondo West,NG-ON-OWE,NG-ON
Ahoada East,NG-RI-AEA,NG-RI
Etche,NG-RI-ETC,NG-RI
Gwiwa,NG-JI-GWI,NG-JI
Batsari,NG-KT-BA1,NG-KT
Kaiama,NG-KW-KAI,NG-KW
Mashegu,NG-NI-MAS,NG-NI
Boluwaduro,NG-OS-BOL,NG-OS
Balanga,NG-GO-BAL,NG-GO
Giwa,NG-KD-GIW,NG-KD
Ogbia,NG-BY-OGB,NG-BY
Dambatta,NG-KN-DAM,NG-KN
Argungu,NG-KE-ARG,NG-KE
Saki East,NG-OY-SEA,NG-OY
Binji,NG-SO-BIN,NG-SO
Tafa,NG-NI-TAF,NG-NI
Ifo,NG-OG-IFO,NG-OG
Isiala-Ngwa North,NG-AB-INN,NG-AB
Afikpo South,NG-EB-ASO,NG-EB
Akko,NG-GO-AKK,NG-GO
Ewekoro,NG-OG-EWE,NG-OG
Demsa,NG-AD-DEM,NG-AD
Ibeno,NG-AK-IBE,NG-AK
kudan,NG-KD-KUD,NG-KD
Eti-Osa,NG-LA-EOS,NG-LA
Oshodi-Isolo,NG-LA-OIS,NG-LA
Lafia,NG-NA-LAF,NG-NA
Ondo East,NG-ON-OEA,NG-ON
Yabo,NG-SO-YAB,NG-SO
Bekwara,NG-CR-BEK,NG-CR
Aniocha South,NG-DE-ASO,NG-DE
Kano Municipal,NG-KN-KMU,NG-KN
Omala,NG-KO-OMA,NG-KO
Itesiwaju,NG-OY-ITE,NG-OY
Ganjuwa,NG-BA-GAN,NG-BA
Kafin Hausa,NG-JI-KHA,NG-JI
Kabba/Bunu,NG-KO-KAB,NG-KO
Langtang North,NG-PL-LNO,NG-PL
Illela,NG-SO-ILL,NG-SO
Jada,NG-AD-JAD,NG-AD
Nnewi North,NG-AN-NNO,NG-AN
Takali,NG-KN-TAK,NG-KN
Lavun,NG-NI-LAV,NG-NI
Qua'an Pan,NG-PL-QPA,NG-PL
Isiala-Ngwa South,NG-AB-INS,NG-AB
Obot Akara,NG-AK-OAK,NG-AK
Ukanafun,NG-AK-UKA,NG-AK
Fagge,NG-KN-FAG,NG-KN
Borgu,NG-NI-BOR,NG-NI
Ogu/Bolo,NG-RI-OGU,NG-RI
Guzamala,NG-BO-GUZ,NG-BO
Efon,NG-EK-EFO,NG-EK
Jahun,NG-JI-JAH,NG-JI
Kagarko,NG-KD-KAG,NG-KD
Ifelodun,NG-KW-IFE,NG-KW
Epe,NG-LA-EPE,NG-LA
Kanam,NG-PL-KAN,NG-PL
Gudu,NG-SO-GUD,NG-SO
Eastern Obolo,NG-AK-EOB,NG-AK
Izzi,NG-EB-IZZ,NG-EB
Oji-River,NG-EN-ORI,NG-EN
Odogbolu,NG-OG-ODO,NG-OG
Ardo-kola,NG-TA-AKO,NG-TA
Itas/Gadau,NG-BA-ITA,NG-BA
Chibok,NG-BO-CHI,NG-BO
Ughelli South,NG-DE-USO,NG-DE
Ogbomosho North,NG-OY-ONO,NG-OY
Shendam,NG-PL-SHE,NG-PL
Biase,NG-CR-BIA,NG-CR
Ikom,NG-CR-IKO,NG-CR
kaduna South,NG-KD-KSO,NG-KD
Kura,NG-KN-KUR,NG-KN
Batagarawa,NG-KT-BAT,NG-KT
Apapa,NG-LA-APA,NG-LA
Saki West,NG-OY-SWE,NG-OY
Mangu,NG-PL-MAN,NG-PL
Isoko South,NG-DE-IS1,NG-DE
Ivo,NG-EB-IVO,NG-EB
Ekiti East,NG-EK-EEA,NG-EK
Maiyama,NG-KE-MAI,NG-KE
Sabon birni,NG-SO-SBI,NG-SO
Zaki,NG-BA-ZAK,NG-BA
Bagwai,NG-KN-BAG,NG-KN
Bassa,NG-KO-BAS,NG-KO
Rafi,NG-NI-RAF,NG-NI
Ussa,NG-TA-USS,NG-TA
Brass,NG-BY-BRA,NG-BY
Awe,NG-NA-AWE,NG-NA
Langtang South,NG-PL-LSO,NG-PL
Karasuwa,NG-YO-KAR,NG-YO
Alkaleri,NG-BA-ALK,NG-BA
Ikpoba-Okha,NG-ED-IOK,NG-ED
Owerri-Municipal,NG-IM-OMU,NG-IM
Gezawa,NG-KN-GEZ,NG-KN
Dandume,NG-KT-DAN,NG-KT
Adavi,NG-KO-ADA,NG-KO
Dekina,NG-KO-DEK,NG-KO
Ijebu East,NG-OG-IEA,NG-OG
Ugwunagbo,NG-AB-UGW,NG-AB
Mafa,NG-BO-MAF,NG-BO
Rogo,NG-KN-ROG,NG-KN
Bade,NG-YO-BAD,NG-YO
Anka,NG-ZA-ANK,NG-ZA
Bukkuyum,NG-ZA-BUK,NG-ZA
Ikole,NG-EK-IKO,NG-EK
Chikun,NG-KD-CHI,NG-KD
Kiru,NG-KN-KIR,NG-KN
Keana,NG-NA-KEA,NG-NA
Gurara,NG-NI-GUR,NG-NI
Ikenne,NG-OG-IKE,NG-OG
Atigbo,NG-OY-AT1,NG-OY
Ogbadibo,NG-BE-OGB,NG-BE
Odukpani,NG-CR-ODU,NG-CR
Ezeagu,NG-EN-EZE,NG-EN
Igbo-Eze North,NG-EN-IEN,NG-EN
Garki,NG-JI-GAR,NG-JI
Lere,NG-KD-LER,NG-KD
Nasarawa-Eggon,NG-NA-NEG,NG-NA
Goronyo,NG-SO-GOR,NG-SO
Dawakin Tofa,NG-KN-DTO,NG-KN
Akure North,NG-ON-ANO,NG-ON
Sokoto North,NG-SO-SNO,NG-SO
Esan West,NG-ED-EWE,NG-ED
Ife East,NG-OS-IEA,NG-OS
Asari-Toru,NG-RI-AT1,NG-RI
Bakassi,NG-CR-BAK,NG-CR
Kaura LGA,NG-KD-KLG,NG-KD
Gwandu,NG-KE-GWA,NG-KE
Ado,NG-BE-ADO,NG-BE
Kwali LGA,NG-FC-KL1,NG-FC
Obowo,NG-IM-OBO,NG-IM
Bebeji,NG-KN-BEB,NG-KN
Ingawa,NG-KT-ING,NG-KT
Ikeja,NG-LA-IKE,NG-LA
Bokkos,NG-PL-BOK,NG-PL
Pankshin,NG-PL-PAN,NG-PL
Mayo-Belwa,NG-AD-MBE,NG-AD
Irepodun/Ifelodun,NG-EK-IRE,NG-EK
Isiala Mbano,NG-IM-IMB,NG-IM
Nwangele,NG-IM-NWA,NG-IM
Lagos Island,NG-LA-LIS,NG-LA
Ahoada West,NG-RI-AWE,NG-RI
Sabon-Gari,NG-KD-SGA,NG-KD
Bindawa,NG-KT-BIN,NG-KT
Mani,NG-KT-MAN,NG-KT
Igalamela-Odolu,NG-KO-IOD,NG-KO
Bali,NG-TA-BAL,NG-TA
Anaocha,NG-AN-ANA,NG-AN
Awka North,NG-AN-ANO,NG-AN
Sagbama,NG-BY-SAG,NG-BY
Warri South,NG-DE-WSO,NG-DE
Surulere,NG-LA-SUR,NG-LA
Atakumosa West,NG-OS-AWE,NG-OS
Jakusko,NG-YO-JAK,NG-YO
Akpabuyo,NG-CR-AKP,NG-CR
Nafada,NG-GO-NAF,NG-GO
Nasarawa,NG-KN-NAS,NG-KN
Irepo,NG-OY-IRE,NG-OY
Sokoto South,NG-SO-SSO,NG-SO
Aguata,NG-AN-AGU,NG-AN
Nsukka,NG-EN-NSU,NG-EN
Abuja Municipa LGA,NG-FC-AML,NG-FC
Ahiazu-Mbaise,NG-IM-AM1,NG-IM
Zaria,NG-KD-ZAR,NG-KD
Kogi,NG-KO-KOG,NG-KO
Irepodun,NG-OS-IRE,NG-OS
Kanke,NG-PL-KA1,NG-PL
Ningi,NG-BA-NIN,NG-BA
Ezza North,NG-EB-ENO,NG-EB
Esan Central,NG-ED-ECE,NG-ED
Tsanyawa,NG-KN-TSA,NG-KN
Bagudo,NG-KE-BAG,NG-KE
Maradun,NG-ZA-MAR,NG-ZA
Umuahia North,NG-AB-UNO,NG-AB
Billiri,NG-GO-BIL,NG-GO
Gaya,NG-KN-GAY,NG-KN
Imeko-Afon,NG-OG-IAF,NG-OG
Bodinga,NG-SO-BOD,NG-SO
Shagari,NG-SO-SHA,NG-SO
Uvwie,NG-DE-UVW,NG-DE
Dukku,NG-GO-DUK,NG-GO
Roni,NG-JI-RON,NG-JI
Sule-Tankarkar,NG-JI-STA,NG-JI
Obi,NG-NA-OBI,NG-NA
Akoko South Akure East,NG-ON-ASA,NG-ON
Takum,NG-TA-TAK,NG-TA
Zing,NG-TA-ZIN,NG-TA
Katsina-Ala,NG-BE-KAL,NG-BE
Marte,NG-BO-MAR,NG-BO
Osogbo,NG-OS-OSO,NG-OS
Rabah,NG-SO-RAB,NG-SO
Fika,NG-YO-FIK,NG-YO
Abak,NG-AK-ABA,NG-AK
Patani,NG-DE-PAT,NG-DE
Ekiti West,NG-EK-EWE,NG-EK
Katagum,NG-BA-KAT,NG-BA
Ezinihitte,NG-IM-EZI,NG-IM
Bende,NG-AB-BEN,NG-AB
Ukwa East,NG-AB-UEA,NG-AB
Umuahia South,NG-AB-USO,NG-AB
Itu,NG-AK-ITU,NG-AK
Ikere,NG-EK-IKE,NG-EK
Biriniwa,NG-JI-BIR,NG-JI
Tofa,NG-KN-TOF,NG-KN
Gusau,NG-ZA-GUS,NG-ZA
Ibiono Ibom,NG-AK-IIB,NG-AK
Gwer West,NG-BE-GWE,NG-BE
Ndokwa West,NG-DE-NWE,NG-DE
Zango-Kataf,NG-KD-ZKA,NG-KD
Tudun Wada,NG-KN-TWA,NG-KN
Birnin Kebbi,NG-KE-BKE,NG-KE
Yagba West,NG-KO-YWE,NG-KO
Pategi,NG-KW-PAT,NG-KW
Toro,NG-BA-TOR,NG-BA
Kukawa,NG-BO-KUK,NG-BO
Mariga,NG-NI-MAR,NG-NI
Jos South,NG-PL-JSO,NG-PL
Birni Kudu,NG-JI-BKU,NG-JI
Baure,NG-KT-BAU,NG-KT
Kafur,NG-KT-KAF,NG-KT
Kankara,NG-KT-KAN,NG-KT
Jos North,NG-PL-JNO,NG-PL
Anambra East,NG-AN-AEA,NG-AN
Kolokuma/Opokuma,NG-BY-KOL,NG-BY
Irele,NG-ON-IRE,NG-ON
Wukari,NG-TA-WUK,NG-TA
Shira,NG-BA-SHI,NG-BA
Gombe,NG-GO-GOM,NG-GO
Gwaram,NG-JI-GWA,NG-JI
Charanchi,NG-KT-CHA,NG-KT
Jibia,NG-KT-JIB,NG-KT
Tai,NG-RI-TAI,NG-RI
Darazo,NG-BA-DAR,NG-BA
Jama'are,NG-BA-JAM,NG-BA
Ika South,NG-DE-ISO,NG-DE
Buji,NG-JI-BUJ,NG-JI
Musawa,NG-KT-MUS,NG-KT
Lokoja,NG-KO-LOK,NG-KO
Wushishi,NG-NI-WUS,NG-NI
Karin-Lamido,NG-TA-KLA,NG-TA
Ikot Ekpene,NG-AK-IEK,NG-AK
Nganzai,NG-BO-NG1,NG-BO
Okpe,NG-DE-OKP,NG-DE
Emure,NG-EK-EMU,NG-EK
Danja,NG-KT-DA1,NG-KT
Shanga,NG-KE-SHA,NG-KE
Ogori/Mangongo,NG-KO-OGO,NG-KO
Suleja,NG-NI-SUL,NG-NI
Rano,NG-KN-RAN,NG-KN
Dan Musa,NG-KT-DMU,NG-KT
Ilesha East,NG-OS-IE1,NG-OS
Mikang,NG-PL-MIK,NG-PL
Hong,NG-AD-HON,NG-AD
Ethiope East,NG-DE-EEA,NG-DE
Udu,NG-DE-UDU,NG-DE
Kajuru,NG-KD-KAJ,NG-KD
kauru,NG-KD-KAU,NG-KD
Odeda,NG-OG-ODE,NG-OG
Maru,NG-ZA-MA1,NG-ZA
Uzo-Uwani,NG-EN-UUW,NG-EN
Doguwa,NG-KN-DOG,NG-KN
Ajaokuta,NG-KO-AJA,NG-KO
Toto,NG-NA-TOT,NG-NA
Shiroro,NG-NI-SHI,NG-NI
OriIre,NG-OY-ORI,NG-OY
Kware,NG-SO-KWA,NG-SO
Gwer East,NG-BE-GEA,NG-BE
Owerri North,NG-IM-ONO,NG-IM
Kankia,NG-KT-KA1,NG-KT
Pailoro,NG-NI-PAI,NG-NI
Ijebu Ode,NG-OG-IOD,NG-OG
Gawabawa,NG-SO-GAW,NG-SO
Jalingo,NG-TA-JAL,NG-TA
Uyo,NG-AK-UYO,NG-AK
Tarka,NG-BE-TAR,NG-BE
Ushongo,NG-BE-USH,NG-BE
Hawul,NG-BO-HAW,NG-BO
Yakurr,NG-CR-YAK,NG-CR
Oredo,NG-ED-ORE,NG-ED
Owan West,NG-ED-OWE,NG-ED
Dawakin Kudu,NG-KN-DKU,NG-KN
Guyuk,NG-AD-GUY,NG-AD
Mubi North,NG-AD-MNO,NG-AD
Warri North,NG-DE-WNO,NG-DE
Ohaukwu,NG-EB-OH1,NG-EB
Shomgom,NG-GO-SHO,NG-GO
Jega,NG-KE-JEG,NG-KE
Offa,NG-KW-OFF,NG-KW
Odo-Otin,NG-OS-OOT,NG-OS
Gireri,NG-AD-GIR,NG-AD
Jere,NG-BO-JER,NG-BO
Ovia South West,NG-ED-OSW,NG-ED
Albasu,NG-KN-ALB,NG-KN
Irepodun,NG-KW-IRE,NG-KW
Oyun,NG-KW-OYU,NG-KW
Ikorodu,NG-LA-IKO,NG-LA
Afijio,NG-OY-AFI,NG-OY
Buruku,NG-BE-BUR,NG-BE
Makurdi,NG-BE-MAK,NG-BE
Etung,NG-CR-ETU,NG-CR
Ungogo,NG-KN-UNG,NG-KN
Mbo,NG-AK-MBO,NG-AK
AdoEkiti,NG-EK-ADO,NG-EK
Magama,NG-NI-MAG,NG-NI
Muya,NG-NI-MUY,NG-NI
Tureta,NG-SO-TUR,NG-SO
Gummi,NG-ZA-GUM,NG-ZA
Kaura Namoda,NG-ZA-KNA,NG-ZA
Okobo,NG-AK-OKO,NG-AK
Minjibir,NG-KN-MIN,NG-KN
Badagry,NG-LA-BAD,NG-LA
Irewole,NG-OS-IR1,NG-OS
Emohua,NG-RI-EMO,NG-RI
Nguru Potiskum,NG-YO-NPO,NG-YO
Bauchi,NG-BA-BAU,NG-BA
Uhunmwonde,NG-ED-UHU,NG-ED
Idosi-Osi,NG-EK-IOS,NG-EK
Maigatari,NG-JI-MAI,NG-JI
Kunchi,NG-KN-KUN,NG-KN
Lagelu,NG-OY-LAG,NG-OY
Song,NG-AD-SON,NG-AD
Yenegoa,NG-BY-YEN,NG-BY
Calabar South,NG-CR-CSO,NG-CR
Ilorin South LGA,NG-KW-ISL,NG-KW
Akinyele,NG-OY-AKI,NG-OY
Tqngaza,NG-SO-TQN,NG-SO
Sardauna,NG-TA-SAR,NG-TA
Misau,NG-BA-MIS,NG-BA
Awgu,NG-EN-AWG,NG-EN
Oke-Ero,NG-KW-OER,NG-KW
Ajeromi-Ifelodun,NG-LA-AIF,NG-LA
Lagos Mainland,NG-LA-LMA,NG-LA
Wase,NG-PL-WAS,NG-PL
Ibesikpo Asutan,NG-AK-IAS,NG-AK
Ihiala,NG-AN-IHI,NG-AN
Nkwerre,NG-IM-NKW,NG-IM
Ikara,NG-KD-IKA,NG-KD
