name,code
Plateau,NG-PL
Sokoto,NG-SO
Zamfara,NG-ZA
Ebonyi,NG-EB
Ekiti,NG-EK
Kogi,NG-KO
Rivers,NG-RI
Edo,NG-ED
Osun,NG-OS
Oyo,NG-OY
Abia,NG-AB
Anambra,NG-AN
Borno,NG-BO
Kebbi,NG-KE
Nasarawa,NG-NA
Bauchi,NG-BA
Abuja Federal Capital Territory,NG-FC
Kwara,NG-KW
Akwa Ibom,NG-AK
Bayelsa,NG-BY
Gombe,NG-GO
Imo,NG-IM
Jigawa,NG-JI
Adamawa,NG-AD
Kaduna,NG-KD
Taraba,NG-TA
Cross River,NG-CR
Enugu,NG-EN
Kano,NG-KN
Lagos,NG-LA
Niger,NG-NI
Ogun,NG-OG
Yobe,NG-YO
Benue,NG-BE
Delta,NG-DE
Katsina,NG-KT
Ondo,NG-ON
